id,create_uid,write_uid,name,code,iso_code,url_code,direction,date_format,time_format,week_start,grouping,decimal_point,thousands_sep,active,create_date,write_date
2,1,1,Amharic / አምሃርኛ,am_ET,am_ET,am_ET,ltr,%d/%m/%Y,%I:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
3,1,1,Arabic / الْعَرَبيّة,ar_001,ar,ar,rtl,"%d %b, %Y",%I:%M:%S,6,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
4,1,1,Arabic (Syria) / الْعَرَبيّة,ar_SY,ar_SY,ar_SY,rtl,"%d %b, %Y",%I:%M:%S,6,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,1,1,Azerbaijani / Azərbaycanca,az_AZ,az,az,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,1,1,Basque / Euskara,eu_ES,eu_ES,eu_ES,ltr,"%a, %Y.eko %bren %da",%H:%M:%S,1,[],",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,1,1,Bengali / বাংলা,bn_IN,bn_IN,bn_IN,ltr,%A %d %b %Y,%I:%M:%S,1,[],",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,1,1,Bosnian / bosanski jezik,bs_BA,bs,bs,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,1,1,Bulgarian / български език,bg_BG,bg,bg,ltr,%d.%m.%Y,"%H,%M,%S",1,"[3,0]",",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
10,1,1,Catalan / Català,ca_ES,ca_ES,ca_ES,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
11,1,1,Chinese (Simplified) / 简体中文,zh_CN,zh_CN,zh_CN,ltr,%Y年%m月%d日,%H时%M分%S秒,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
12,1,1,Chinese (HK),zh_HK,zh_HK,zh_HK,ltr,%Y年%m月%d日 %A,%I時%M分%S秒,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
13,1,1,Chinese (Traditional) / 繁體中文,zh_TW,zh_TW,zh_TW,ltr,%Y年%m月%d日,%H時%M分%S秒,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
14,1,1,Croatian / hrvatski jezik,hr_HR,hr,hr,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
15,1,1,Czech / Čeština,cs_CZ,cs_CZ,cs_CZ,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
16,1,1,Danish / Dansk,da_DK,da_DK,da_DK,ltr,%d-%m-%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
17,1,1,Dutch (BE) / Nederlands (BE),nl_BE,nl_BE,nl_BE,ltr,%d-%m-%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
18,1,1,Dutch / Nederlands,nl_NL,nl,nl,ltr,%d-%m-%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
19,1,1,English (AU),en_AU,en_AU,en_AU,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
20,1,1,English (CA),en_CA,en_CA,en_CA,ltr,%Y-%m-%d,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
21,1,1,English (UK),en_GB,en_GB,en_GB,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
22,1,1,English (IN),en_IN,en_IN,en_IN,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,2,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
23,1,1,English (NZ),en_NZ,en_NZ,en_NZ,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
24,1,1,Estonian / Eesti keel,et_EE,et,et,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
25,1,1,Finnish / Suomi,fi_FI,fi,fi,ltr,%d.%m.%Y,%H.%M.%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
26,1,1,French (BE) / Français (BE),fr_BE,fr_BE,fr_BE,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
27,1,1,French (CA) / Français (CA),fr_CA,fr_CA,fr_CA,ltr,%Y-%m-%d,%H:%M:%S,7,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
28,1,1,French (CH) / Français (CH),fr_CH,fr_CH,fr_CH,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",.,',,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
29,1,1,French / Français,fr_FR,fr,fr,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
30,1,1,Galician / Galego,gl_ES,gl,gl,ltr,%d/%m/%Y,%H:%M:%S,1,[],",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
31,1,1,Georgian / ქართული ენა,ka_GE,ka,ka,ltr,%m/%d/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
32,1,1,German / Deutsch,de_DE,de,de,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
33,1,1,German (CH) / Deutsch (CH),de_CH,de_CH,de_CH,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",.,',,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
34,1,1,Greek / Ελληνικά,el_GR,el_GR,el_GR,ltr,%d/%m/%Y,%I:%M:%S %p,1,[],",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
35,1,1,Gujarati / ગુજરાતી,gu_IN,gu,gu,ltr,%A %d %b %Y,%I:%M:%S,7,[],.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
36,1,1,Hebrew / עִבְרִי,he_IL,he,he,rtl,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
37,1,1,Hindi / हिंदी,hi_IN,hi,hi,ltr,%A %d %b %Y,%I:%M:%S,7,[],.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
38,1,1,Hungarian / Magyar,hu_HU,hu,hu,ltr,%Y-%m-%d,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
39,1,1,Indonesian / Bahasa Indonesia,id_ID,id,id,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
40,1,1,Italian / Italiano,it_IT,it,it,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
41,1,1,Japanese / 日本語,ja_JP,ja,ja,ltr,%Y年%m月%d日,%H時%M分%S秒,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
42,1,1,Kabyle / Taqbaylit,kab_DZ,kab,kab,ltr,%m/%d/%Y,%I:%M:%S %p,6,[],.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
43,1,1,Khmer / ភាសាខ្មែរ,km_KH,km,km,ltr,%d %B %Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
44,1,1,Korean (KP) / 한국어 (KP),ko_KP,ko_KP,ko_KP,ltr,%m/%d/%Y,%I:%M:%S %p,1,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
45,1,1,Korean (KR) / 한국어 (KR),ko_KR,ko_KR,ko_KR,ltr,%Y년 %m월 %d일,%H시 %M분 %S초,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
46,1,1,Lao / ພາສາລາວ,lo_LA,lo,lo,ltr,%d/%m/y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
47,1,1,Latvian / latviešu valoda,lv_LV,lv,lv,ltr,%Y.%m.%d.,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
48,1,1,Lithuanian / Lietuvių kalba,lt_LT,lt,lt,ltr,%Y-%m-%d,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
49,1,1,Luxembourgish,lb_LU,lb,lb,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
50,1,1,Macedonian / македонски јазик,mk_MK,mk,mk,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
51,1,1,Malayalam / മലയാളം,ml_IN,ml,ml,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
52,1,1,Mongolian / монгол,mn_MN,mn,mn,ltr,%Y-%m-%d,%H:%M:%S,7,"[3,0]",.,',,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
53,1,1,Malay / Bahasa Melayu,ms_MY,ms,ms,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
55,1,1,Norwegian Bokmål / Norsk bokmål,nb_NO,nb_NO,nb_NO,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
56,1,1,Persian / فارسی,fa_IR,fa,fa,rtl,%Y/%m/%d,%H:%M:%S,6,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
57,1,1,Polish / Język polski,pl_PL,pl,pl,ltr,%d.%m.%Y,%H:%M:%S,1,[],",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
58,1,1,Portuguese (AO) / Português (AO),pt_AO,pt_AO,pt_AO,ltr,%d-%m-%Y,%H:%M:%S,1,[],",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
59,1,1,Portuguese (BR) / Português (BR),pt_BR,pt_BR,pt_BR,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
60,1,1,Portuguese / Português,pt_PT,pt,pt,ltr,%d-%m-%Y,%H:%M:%S,1,[],",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
61,1,1,Romanian / română,ro_RO,ro,ro,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
62,1,1,Russian / русский язык,ru_RU,ru,ru,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
63,1,1,Serbian (Cyrillic) / српски,sr_RS,sr_RS,sr_RS,ltr,%d.%m.%Y.,%H:%M:%S,7,[],",",,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
64,1,1,Serbian (Latin) / srpski,sr@latin,sr@latin,sr@latin,ltr,%m/%d/%Y,%I:%M:%S %p,7,[],.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
65,1,1,Slovak / Slovenský jazyk,sk_SK,sk,sk,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
66,1,1,Slovenian / slovenščina,sl_SI,sl,sl,ltr,%d. %m. %Y,%H:%M:%S,1,[],",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
67,1,1,Spanish (Latin America) / Español (América Latina),es_419,es_419,es_419,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
68,1,1,Spanish (AR) / Español (AR),es_AR,es_AR,es_AR,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
69,1,1,Spanish (BO) / Español (BO),es_BO,es_BO,es_BO,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
70,1,1,Spanish (CL) / Español (CL),es_CL,es_CL,es_CL,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
71,1,1,Spanish (CO) / Español (CO),es_CO,es_CO,es_CO,ltr,%d-%m-%Y,%H:%M:%S,7,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
72,1,1,Spanish (CR) / Español (CR),es_CR,es_CR,es_CR,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
73,1,1,Spanish (DO) / Español (DO),es_DO,es_DO,es_DO,ltr,%d/%m/%Y,%I:%M:%S %p,1,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
74,1,1,Spanish (EC) / Español (EC),es_EC,es_EC,es_EC,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
75,1,1,Spanish (GT) / Español (GT),es_GT,es_GT,es_GT,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
76,1,1,Spanish (MX) / Español (MX),es_MX,es_MX,es_MX,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
77,1,1,Spanish (PA) / Español (PA),es_PA,es_PA,es_PA,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
78,1,1,Spanish (PE) / Español (PE),es_PE,es_PE,es_PE,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
79,1,1,Spanish (PY) / Español (PY),es_PY,es_PY,es_PY,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
80,1,1,Spanish (UY) / Español (UY),es_UY,es_UY,es_UY,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
81,1,1,Spanish (VE) / Español (VE),es_VE,es_VE,es_VE,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
82,1,1,Spanish / Español,es_ES,es,es,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
83,1,1,Swedish / Svenska,sv_SE,sv,sv,ltr,%Y-%m-%d,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
84,1,1,Thai / ภาษาไทย,th_TH,th,th,ltr,%d/%m/%Y,%H:%M:%S,7,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
85,1,1,Tagalog / Filipino,tl_PH,tl,tl,ltr,%m/%d/%y,%H:%M:%S,1,"[3,0]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
86,1,1,Turkish / Türkçe,tr_TR,tr,tr,ltr,%d-%m-%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
87,1,1,Ukrainian / українська,uk_UA,uk,uk,ltr,%d.%m.%Y,%H:%M:%S,1,"[3,0]",",", ,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
88,1,1,Vietnamese / Tiếng Việt,vi_VN,vi,vi,ltr,%d/%m/%Y,%H:%M:%S,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
89,1,1,Albanian / Shqip,sq_AL,sq,sq,ltr,%Y-%b-%d,%I.%M.%S.,1,"[3,0]",",",.,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
90,1,1,Telugu / తెలుగు,te_IN,te,te,ltr,%B %d %A %Y,%p%I.%M.%S,7,[],.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
54,1,1,Burmese / ဗမာစာ,my_MM,my,mya,ltr,%Y %b %d %A,%I:%M:%S %p,7,"[3,3]",.,",",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
1,1,1,English (US),en_US,en,en,ltr,%m/%d/%Y,%H:%M:%S,7,"[3,0]",.,",",t,2024-04-18 07:38:41.908233,2024-04-18 07:38:51.528016
